zemlja,ulazak,opis,azurirano
AZERBEJDžAN,❌,"
Državljani Srbije ne mogu da uđu ili tranzitiraju jer su sve granice Azerbejdzana zatvorene za putnički saobraćaj. Državljani Srbije koji u hitnom slučaju treba da putuju u Azerbejdzan treba da podnesu zahtev za vizu u Ambasadi Azerbejdzana u Beogradu.
Strani državljani da bi dobili dozvolu za ulazak u zemlju moraju da dostave lekarsko uverenje o negativnom rezultatu testa. Po dolasku u Azerbejdzan, strani državljani se pregledaju i u slučaju sumnje na infekciju, lice se, bez obzira na državljanstvo, nacionalnost i svrhu putovanja, smešta u karantin od 14 dana u specijalizovanoj medicinskoj ustanovi.

",05.01.2021.
ALBANIJA,✅,"
Državljani Srbije mogu bez ograničenja da uđu u Albaniju ili tranzitiraju. Nema posebnih uslova. Režim ulaska je isti za sva lica bez obzira iz koje zemlje se dolazi u Albaniju.

",05.01.2021.
ALŽIR,❌,"
Državljani Srbije ne mogu da uđu u Alžir, kao ni drugi strani državljani.
Zatvoreni su svi granični prelazi i obustavljen je međunarodni putnički saobraćaj – vazdušni, kopneni i pomorski. Izuzetak predstavljaju predstavnici stranih diplomatko-konzularnih predstavništava i radnici humanitarnih misija kojima se, uz prethodnu notifikaciju, dozvoljava ulazak, kao i predstavnici stranih kompanija koje imaju poslovni angažman u Alžiru, uz prethodnu saglasnost nadležnih alžirskih vlasti i obavezu 14-odnevnog karantina.

",05.01.2021.
ANGOLA,✅,"
Državljani Srbije mogu da uđu na teritoriju Angole ukoliko poseduju vizu ili regulisani boravak. Po dolasku, smeštaju se u obavezni državni karantin u trajanju od 14 dana. Ovaj period može biti skraćen na sedam dana ukoliko lice o svom trošku uradi test u ovlašćenoj laboratoriji.
Gore navedeno važi i za sve ostale strane državljane.

",05.01.2021.
ANDORA,❌,"
Državljani Srbije ne mogu da uđu u zemlju osim lica koja imaju regulisan boravak. Obavezna je samoizolacija u trajanju od 15 dana.
Ulazak u Andoru je dozvoljen državljanima i rezidentima zemalja članica EU, Islanda, Lihtenštajna, Monaka, Norveške, V.Britanije, San Marina, Švajcarske i Vatikana.

",05.01.2021.
ANTIGVA I BARBUDA,✅🧪,"
Državljanima Srbije je dozvoljen ulazak i tranzit preko Antigve i Barbude ukoliko poseduju negativan PCR test, ne stariji od sedam dana. Putnici koji dolaze brodovima mogu biti podvrgnuti karantinu ukoliko to procene lučke vlasti. Test nije potreban za decu mlađu od 12 godina.

",05.01.2021.
ARGENTINA,❌,"
Državljani Srbije ne mogu ući u zemlju osim lica koja imaju regulisan boravak u Argentini ili nekoj od pograničnih država, kao i nosioci diplomatskih i službenih pasoša. Uz posebnu prethodnu dozvolu mogu ući i državljani Srbije koji dolaze u Argentinu u diplomatsku misiju, iz poslovnih razloga, na sportsko takmičenje ili radi spajanja porodice. U navedenim slučajevima je potrebna posebna viza, a pomenuta dozvola se dobija posredstvom Ambasade Argentine u Beogradu.
Državljani Argentine i susednih država, kao i oni koji imaju stalni boravak u Argentini ili nekoj od susednih država, pre ulaska u zemlju moraju imati negativan PCR test, ne stariji od 72 sata. Nosioci diplomatskih i službenih pasoša podležu odgovarajućim sanitarnim procedurama, uključujući obavezan karantin od 14 dana. Takođe se zahteva prethodno slanje elektronskim putem tzv. izjave o odgovornosti da je putnik upoznat sa svim sanitarnim propisima i procedurama u Argentini i dokaz o zdravstvenom osiguranju koje pokriva i bolničke troškove za lečenje od SARS-CoV-2 .

",05.01.2021.
AUSTRALIJA,❌,"
Državljani Srbije ne mogu da uđu u zemlju, osim onih lica koja imaju odobren stalni boravak i članova njihove uže porodice. Mogućnost ulaska postoji ako su u pitanju humanitarni ili dovoljno ubedljivi razlozi, uz prethodno pribavljanje dozvole od strane nadležnih organa. Obavezan je karantin od 14 dana. Nije neophodan negativan PCR test. Tranzit je dozvoljen uz posedovanje tranzitne vize (ukoliko je vreme provedeno u tranzitu do 8 sati) i dozvole za izuzeće od obaveznog karantina (ukoliko je vreme provedeno u tranzitu od 8-72 sata).
Ulazak u Australiju dozvoljen je samo državljanima Australije, licima koja imaju odobren stalni boravak i članovima njihovih užih porodica, kao i državljanima Novog Zelanda koji obično prebivaju u Australiji.

",05.01.2021.
AUSTRIJA,❌,"
Državljanima Srbije nije dozvoljen ulazak u Austriju osim licima koja imaju regulisan boravak, kao i u posebnim slučajevima, i to za lica koja u Austriju putuju: iz poslovnih razloga; jednom licu u pratnji osobe koja u Austriju dolazi u svrhu medicinskog lečenja; radi početka ili nastavka studija, odnosno u cilju naučnog istraživanja; radi učešća u školskim aktivnostima; radi prisustvovanja sudskim ili administrativnim postupcima pred austrijskim nadležnim organima; članovima osoblja diplomatskih predstavništava, zaposlenima u međunarodnim organizacijama i licima koja sa njima žive u zajedničkom domaćinstvu; humanitarno osoblje; zbog planiranih važnih događaja u krugu porodice (venčanja, krštenja, rođendani, neperiodične posete životnom partneru).
Sve navedene kategorije lica su u obavezi da prilikom ulaska na granici prilože dokaz o svrsi putovanja, odnosno dokaz da pripadaju jednoj od navedenih kategorija.
Počev od 19. decembra 2020. godine navedene kategorije lica, bez obzira da li poseduju negativan PCR test, moraće da se obavežu na 10-dnevni karantin. Karantin je moguće prekinuti najranije petog dana, ukoliko lice dobije negativan nalaz na testu na korona virus (pored PCR prihvataju se i anti-gen testovi).
Izuzeci od navedenog pravila (koji nisu u obavezi da budu u 10-dnevnom karantinu) ali su, ukoliko dolaze iz Srbije ili iz neke od tzv. „rizičnih zemalja"", i dalje u obavezi da poseduju negativan PCR test, ne stariji od 72 sata, jesu sledeće kategorije lica: lica koja putuju iz službenih razloga; lica koja u Austriju dolaze kako bi učestvovala u sudskom procesu; lice u pratnji osobe koja u Austriju dolazi iz medicinskih razloga; diplomate akreditovane u Austriji; pripadnici humanitarnih konvoja.
Tranzit kroz Austriju je dozvoljen bez zadržavanja, odnosno ukoliko je zagarantovano napuštanje zemlje bez odlaganja. Nije potreban test za tranzit.
Deca do navršene 10. godine života ne moraju imati negativan test radi ulaska u Austriju, s tim da i za njih važe sve odredbe kao i za odraslu osobu pod čijim nadzorom putuju.
Ulazak u Austriju bez testa i bez karantina moguć je u sledećim slučajevima: lica koja obavljaju putnički i teretni saobraćaj; lica koja dolaze zbog nege životinja/poljoprivrednih razloga; profesionalni vozači/piloti; lica koja dolaze iz posebnih interesa za Austriju; putnici u tranzitu bez zaustavljanja, čak i u slučajevima kad postoji nužna pauza u Austriji (npr. pauza između letova i sl); malogranični saobraćaj lica koja redovno prelaze granicu iz poslovnih, odnosno porodičnih razloga; pripadnici službi bezbednosti koji sprovode repatrijaciju; lica koja voze vozila javnih službi (hitna pomoć, vatrogasna i policijska vozila); lica koja dolaze iz nepredviđenih, neodložnih i naročito relevantnih razloga u krugu porodice u pojedinačnim slučajevima (npr. smrtni slučaj, sahrana, rođenje); lica koja dolaze radi medicinskog lečenja uz posedovanje potvrde austrijske medicinske ustanove o neophodnosti medicinskog lečenja u Austriji.
Ulazak u Austriju iz država EU, EEZ, odnosno Švajcarske, Andore, Monaka, San Marina, Vatikana u Ujedinjenog Kraljevstva je dozvoljen bez negativnog PCR testa i karantina, pod uslovom da lica dolaze i dokažu da su u prethodnih 10 dana boravila u jednoj od zemalja koje se nalaze na listi tzv. ,,bezbednih država"" (lista A). Ulazak u Austriju iz ,,trećih država"" dozvoljen je isključivo ukoliko se nalaze na listi tzv. ,,bezbednih država"" (lista A). Lista A se može naći na sledećem linku: <a href=""https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Rechtliches.html"">https://www.sozialministerium.at/Informationen-zum-Coronavirus/Coronavirus---Rechtliches.html</a>.
Konačnu odluku o ulasku u Austriju donose nadležni pogranični organi.

",05.01.2021.
BARBADOS,✅🧪,"
Državljani Srbije mogu da uđu na Barbados s tim što je neophodno da popune formular o ulasku i izlasku najkasnije 24 časa pre puta. Formular se može naći i podneti na <a href=""http://www.travelform.gov.bb"">www.travelform.gov.bb</a>. Potreban je negativan PCR test, ne stariji od 72 sata. Ukoliko se ne poseduje test, isti će se uraditi na aerodromu.
Osobe koje dolaze iz zemalja visokog rizika bez testa, biće primorane da rezulat čekaju na aerodromu. Osobe iz zemalja srednjeg rizika bez testa, rezulat testa čekaju u svom smeštaju. Osobe iz zemalja niskog rizika bez testa, koje nisu putovale u periodu od 21 dana u zemlje visokog rizika, mogu priložiti negativan test ne stariji od 7 dana. Visinu rizika zemalja određuje sedmična lista Svetske zdravstvene organizacije o broju zaraženih.
Navedeno važi i za tranzit.

",05.01.2021.
